views,likes,dislikes,comment_count,type
94694,136,11,31,0
211683,2279,545,1838,0
210393,8996,290,4043,0
63780,831,12,301,0
18438,563,16,29,0
1099318,26813,1047,3827,0
71661,6310,18,300,0
935879,5715,514,3442,0
131153,7129,78,265,0
84149,276,128,172,0
34138,4303,29,1399,0
144937,5246,171,280,0
306550,16612,160,1311,0
328325,19970,104,3336,0
2472569,17959,2863,2690,1
341074,10915,1915,1313,0
113963,11576,155,635,0
21544,83,74,62,0
93322,398,43,497,0
68084,2530,88,117,0
279092,8339,315,2371,0
692631,9086,1406,4582,0
155285,4719,64,207,0
93829,2229,36,469,0
31639,586,42,67,0
37524,126,77,45,0
358358,9211,731,1385,0
158173,6587,68,611,0
45200,930,67,116,0
286577,9606,248,1196,0
315177,4212,171,259,0
225044,2265,775,868,0
399491,6240,326,287,0
231104,12862,347,1824,0
5813,33,3,0,0
18317,1322,34,196,0
246134,5847,337,544,0
32483,23,10,135,0
113462,4566,142,757,0
311621,2425,145,465,0
94229,217,177,0,0
571588,386,47,113,0
272604,9576,260,1619,0
42336,4293,89,428,0
13750,305,10,39,0
6684,18,57,54,0
128523,4170,148,307,0
102639,3218,1085,475,0
20539417,840642,47715,124236,1
238413,732,92,618,0
41029,296,32,33,0
805124,44513,1756,3929,0
55140,136,14,46,0
120817,2896,210,594,0
58469,828,253,271,0
360223,15873,16033,7803,0
1775997,37124,1980,2695,1
6685,11,35,18,0
200060,4548,52,258,0
346924,4657,1838,734,0
12987863,216319,17751,12133,1
1981757,103407,1419,12354,1
1015189,2133,2483,1465,0
3653,47,3,25,0
2255529,48000,2970,8507,1
1155622,16060,883,1018,0
9892,250,7,19,0
5626588,408618,6121,28196,1
85643,170,45,0,0
212310,7589,227,463,0
180284,6073,125,512,0
301423,8409,349,952,0
835573,27068,2021,5165,0
3686343,130373,3628,6694,1
297840,10429,378,990,0
2922523,119348,1161,6736,1
595415,8795,450,1022,0
3643894,125205,8702,5687,1
9833,73,21,62,0
7563254,58209,10859,7120,1
54341,487,67,64,0
357078,19783,610,1732,0
1888789,44007,1997,1794,1
168446,374,48,191,0
263656,2556,5584,2377,0
515525,24115,1249,1860,0
39082222,1721383,23137,90352,1
1080230,2540,887,1040,0
873362,36365,594,2630,0
366892,9052,2993,3088,0
48372,382,11,29,0
216766,7108,95,319,0
81086,3085,150,250,0
3931,17,0,2,0
1072970,102199,1469,8943,0
56372,2332,191,261,0
69786,453,26,19,0
204298,9321,386,993,0
101233,3128,51,93,0
1126501,48219,444,1083,0
2498463,75023,1925,3483,1
224608,14843,180,1004,0
45965,2284,35,17,0
317304,17023,84,939,0
1996082,18992,1049,1322,1
44939,1576,110,1021,0
118316,3823,294,404,0
2244971,101831,12677,11863,1
2844271,60500,3667,8122,1
99019,2404,40,135,0
3591699,212004,3528,20418,1
1137392,26180,992,1055,0
147193,5405,151,395,0
482334,55001,184,3027,0
269509,10801,158,653,0
3741812,314872,2647,12114,1
1185773,45513,1378,4794,1
178313,9072,98,656,0
2185367,96850,1130,8216,1
366814,4099,172,449,0
797436,29425,585,1497,0
1646057,53901,1566,5963,1
271685,3330,854,0,0
3505996,5934,3400,5162,1
194946,9278,137,2803,0
392482,5659,2432,1311,0
1882868,88072,1219,6083,1
226317,11702,125,471,0
232083,14766,408,1107,0
144694,1012,588,288,0
908489,12261,339,1600,0
180606,2400,159,239,0
308352,15765,399,984,0
193832,1351,25,128,0
41251,1561,29,96,0
524911,7822,185,403,0
467804,19962,268,953,0
77302,3756,123,222,0
304700,12347,577,756,0
1440724,36686,6598,9637,1
878560,12961,1468,1788,0
155533,4621,233,451,0
161231,7803,169,1479,0
379918,4472,4507,2066,0
90454,211,65,59,0
157037,7800,96,326,0
895507,38734,550,1270,0
134372,7979,80,310,0
55901,477,132,105,0
207678,10372,69,554,0
3979891,151850,2378,8079,1
387902,24442,414,1346,0
1803724,57470,5261,7483,1
3621389,141681,1289,8127,1
1012513,20036,6510,5153,0
224426,17784,225,2762,0
1147169,31832,1902,1498,0
1362421,8970,4131,3857,1
593969,24672,735,5173,0
2916453,93039,1765,6493,1
533940,12633,597,1828,0
1559003,29898,884,1838,1
2900560,37329,34908,10768,1
760341,13283,317,433,0
1961066,142740,773,8471,1
1258937,114661,2509,11298,1
133212,6260,202,528,0
235655,2665,109,336,0
208117,21334,255,1229,0
229515,9435,90,759,0
1496471,43974,2045,9442,1
211596,3802,78,232,0
2223948,76806,1169,4176,1
5531707,72727,3362,14816,1
623803,17286,511,6126,0
1610930,85208,916,5001,1
42571,3557,147,693,0
507753,35595,483,2176,0
237107,2207,138,261,0
1825705,77531,4156,12025,1
1251180,32186,455,4166,1
79863,259,131,47,0
50934,2793,104,295,0
21740,979,5,93,0
574778,7517,154,515,0
153220,660,320,479,0
845763,17929,502,2325,0
42769,175,117,100,0
177648,6932,786,697,0
225337,9576,587,2282,0
17901,2325,50,429,0
290124,23472,483,2308,0
15232,84,11,20,0
1291560,152975,650,8490,1
28895,309,81,76,0
520049,28187,452,1607,0
10838,7,42,10,0
281868,1546,245,885,0
2325233,91111,7543,21450,1
196434,6305,88,762,0
936075,21642,1202,2877,0
52607,3835,32,351,0
91701,5930,70,743,0
17129,455,18,101,0
5086221,137819,10468,18395,1
860406,20489,2507,3083,0
2394,19,0,2,0
153583,6989,92,845,0
587752,11891,1777,6920,0
128892,1935,68,288,0
98396,93,19,46,0
90641,2349,409,1246,0
62185,4369,82,867,0
30576,1741,27,283,0
33887,1350,41,69,0
12494,252,3,91,0
338317,11251,120,680,0
232532,11933,231,607,0
100472,5140,40,560,0
2814427,194199,3757,12409,1
414929,8895,636,2594,0
827546,15887,1299,3460,0
440163,17988,211,5752,0
141129,8451,239,349,0
34221,1445,593,903,0
4576001,172379,6952,9440,1
282854,12958,664,1060,0
30341,730,22,34,0
207712,5447,143,1191,0
135459,9381,29,403,0
214305,4064,56,430,0
31910,1699,13,142,0
265822,9045,346,4701,0
11769,127,13,0,0
2584165,147110,2305,19313,1
175760,15482,138,2164,0
220189,2338,565,1922,0
157522,8012,85,286,0
84091,2892,95,122,0
1037561,716,117,223,0
174568,4934,65,208,0
10457,54,4,2,0
212992,7049,209,365,0
31076,1814,36,523,0
1154280,27632,1096,2547,0
984836,5855,530,3171,0
549044,16946,2438,1626,0
46545,5320,37,1596,0
32347,145,44,245,0
319797,17086,164,1356,0
62620,1170,92,131,0
372775,21214,119,3433,0
2567518,18425,2950,2776,1
120697,2376,38,492,0
289923,8480,321,2011,0
209442,19069,289,836,0
44320,130,77,42,0
727427,9459,1446,3292,0
99999,143,12,32,0
85742,278,128,174,0
20529,318,11,41,0
237111,2323,786,636,0
104295,423,45,551,0
409445,6345,331,299,0
365006,9431,741,1278,0
174023,7010,72,632,0
37575,1679,21,82,0
248499,13613,359,1870,0
327935,4345,175,261,0
59466,39,14,34,0
403564,2581,159,477,0
264129,6161,356,579,0
36859,23,10,135,0
22101,83,74,61,0
133296,5012,159,737,0
297046,9905,266,1551,0
28147,1801,48,263,0
46308,4511,91,442,0
33513,607,42,70,0
102878,225,182,0,0
136066,4355,158,318,0
100120,154,15,48,0
42472,303,32,36,0
863232,46439,1828,3708,0
22702386,869304,50018,123227,1
6904,18,58,53,0
1338,4,0,0,0
58604,828,253,305,0
121979,2901,210,595,0
215222,4720,55,264,0
1826373,37692,2026,2759,1
1118,6,0,2,0
251684,769,95,748,0
6355501,424406,6451,28735,1
381688,16467,18775,8352,0
6743,11,35,16,0
687,10,2,5,0
190543,6369,137,518,0
2083918,106243,1461,12707,1
350422,4735,1839,744,0
8088,280,4,145,0
3839,48,3,25,0
2328148,48904,3008,8459,1
10309,254,7,19,0
15432746,233172,19513,12709,1
92327,182,45,0,0
9036,427,14,79,0
216234,7715,230,470,0
